Index,Ovr,Gen,Div,Name,#,AG,Country,Swim,Bike,Run,Total,Competition,Year,Swim_sec,Bike_sec,Run_sec,Total_sec
119,119,115,32,Frederick Silva,2181,M35-39,USA,00:45:59,05:00:38,03:42:37,09:42:45,Overall Results,Ironman California 2023,2759.0,18038.0,13357,34965
120,120,116,10,Brian Winco,2239,M50-54,USA,00:46:05,05:17:29,03:25:10,09:43:07,Overall Results,Ironman California 2023,2765.0,19049.0,12310,34987
121,121,117,11,Marshall Kronewitt,337,M50-54,CAN,00:41:12,05:11:47,03:37:03,09:43:32,Overall Results,Ironman California 2023,2472.0,18707.0,13023,35012
122,122,118,20,Patrick Kenny,593,M30-34,IRL,00:42:43,05:13:22,03:34:49,09:43:32,Overall Results,Ironman California 2023,2563.0,18802.0,12889,35012
123,123,119,4,Ryan Teshima,114,M18-24,USA,00:37:36,05:07:26,03:43:33,09:43:42,Overall Results,Ironman California 2023,2256.0,18446.0,13413,35022
124,124,120,12,Boris Lindenau,1955,M25-29,USA,00:47:38,05:03:50,03:38:45,09:43:57,Overall Results,Ironman California 2023,2858.0,18230.0,13125,35037
125,125,121,15,Jarno Lekkerkerker,982,M45-49,NLD,00:45:09,04:56:42,03:51:02,09:44:37,Overall Results,Ironman California 2023,2709.0,17802.0,13862,35077
126,126,122,33,David Oda,311,M35-39,USA,00:48:18,05:12:58,03:29:08,09:44:50,Overall Results,Ironman California 2023,2898.0,18778.0,12548,35090
127,127,123,12,Jim Huchingson,1947,M50-54,USA,00:43:18,05:07:07,03:41:28,09:45:21,Overall Results,Ironman California 2023,2598.0,18427.0,13288,35121
128,128,124,2,Olivier Jakob,212,M55-59,CHE,00:45:20,04:58:28,03:48:08,09:45:31,Overall Results,Ironman California 2023,2720.0,17908.0,13688,35131
129,129,125,27,Martin Treu,190,M40-44,USA,00:39:12,05:02:47,03:49:17,09:45:34,Overall Results,Ironman California 2023,2352.0,18167.0,13757,35134
130,130,126,13,James Scanlan,332,M50-54,USA,00:52:24,05:13:13,03:13:24,09:45:34,Overall Results,Ironman California 2023,3144.0,18793.0,11604,35134
131,131,127,16,Rodrigo Recalde Larrea,1590,M45-49,PRY,00:44:39,05:10:40,03:39:10,09:47:01,Overall Results,Ironman California 2023,2679.0,18640.0,13150,35221
132,132,128,13,Drew Hoeger,188,M25-29,USA,00:44:10,05:07:22,03:41:47,09:47:08,Overall Results,Ironman California 2023,2650.0,18442.0,13307,35228
133,133,129,21,Diego Ching Jenkins,232,M30-34,CRI,00:43:16,05:08:36,03:38:57,09:47:14,Overall Results,Ironman California 2023,2596.0,18516.0,13137,35234
134,134,130,22,Morgan Wilder,1481,M30-34,USA,00:48:34,05:03:19,03:38:53,09:47:37,Overall Results,Ironman California 2023,2914.0,18199.0,13133,35257
135,135,131,23,Yann le Guen,1443,M30-34,FRA,00:49:44,05:10:49,03:31:16,09:47:41,Overall Results,Ironman California 2023,2984.0,18649.0,12676,35261
136,136,132,24,Michael Graw,235,M30-34,USA,00:45:55,04:56:42,03:56:15,09:48:35,Overall Results,Ironman California 2023,2755.0,17802.0,14175,35315
137,137,133,25,Mike Pavlak,923,M30-34,USA,00:37:36,05:11:50,03:47:22,09:49:01,Overall Results,Ironman California 2023,2256.0,18710.0,13642,35341
138,138,134,14,Rafael Sanchez Nazariega,270,M50-54,MEX,00:48:06,05:11:10,03:35:09,09:49:04,Overall Results,Ironman California 2023,2886.0,18670.0,12909,35344
139,139,135,28,Ivan Bukin,1908,M40-44,USA,00:43:52,04:49:48,04:06:00,09:49:32,Overall Results,Ironman California 2023,2632.0,17388.0,14760,35372
140,140,136,29,Sam Thompson,285,M40-44,GBR,00:42:06,05:02:08,03:55:05,09:49:46,Overall Results,Ironman California 2023,2526.0,18128.0,14105,35386
141,141,137,30,Jeffrey Brennecke,335,M40-44,USA,00:42:04,05:16:09,03:40:17,09:49:59,Overall Results,Ironman California 2023,2524.0,18969.0,13217,35399
